dataset_name,iteration,bias,restricted
breast_cancer,0,0.03901581722319859,True
breast_cancer,1,0.03624780316344464,True
breast_cancer,2,0.035654657293497365,True
breast_cancer,3,0.03492970123022847,True
breast_cancer,4,0.034995606326889285,True
breast_cancer,5,0.03374340949033392,True
breast_cancer,6,0.03396309314586995,True
breast_cancer,7,0.03336994727592267,True
breast_cancer,8,0.033787346221441125,True
breast_cancer,9,0.03216168717047452,True
breast_cancer,10,0.03211775043936731,True
breast_cancer,0,0.03820298769771529,False
breast_cancer,1,0.03862038664323374,False
breast_cancer,2,0.036731107205623906,False
breast_cancer,3,0.03517135325131811,False
breast_cancer,4,0.03429261862917399,False
breast_cancer,5,0.03354569420035149,False
breast_cancer,6,0.03400702987697715,False
breast_cancer,7,0.03407293497363796,False
breast_cancer,8,0.034116871704745165,False
breast_cancer,9,0.033787346221441125,False
breast_cancer,10,0.032469244288224966,False
red_wine,0,0.06820609034492713,True
red_wine,1,0.06555855222013758,True
red_wine,2,0.06535334584115071,True
red_wine,3,0.06292995622263914,True
red_wine,4,0.06333059724828016,True
red_wine,5,0.06345762976860538,True
red_wine,6,0.06203095684803001,True
red_wine,7,0.060350218886804245,True
red_wine,8,0.05964665415884928,True
red_wine,9,0.06173780487804878,True
red_wine,10,0.06068245778611632,True
red_wine,0,0.06807139077307932,False
red_wine,1,0.06465955284552846,False
red_wine,2,0.06294949968730457,False
red_wine,3,0.06132739212007505,False
red_wine,4,0.05989094746716697,False
red_wine,5,0.061522826766729204,False
red_wine,6,0.0612687617260788,False
red_wine,7,0.05971505628517824,False
red_wine,8,0.058737883051907434,False
red_wine,9,0.06014501250781738,False
red_wine,10,0.05964665415884928,False
pima,0,0.16536458333333334,True
pima,1,0.17420504385964908,True
pima,2,0.17118969298245612,True
pima,3,0.17091557017543857,True
pima,4,0.1758497807017544,True
pima,5,0.17550712719298245,True
pima,6,0.17372532894736842,True
pima,7,0.17345120614035092,True
pima,8,0.170093201754386,True
pima,9,0.17646655701754385,True
pima,10,0.1737253289473684,True
pima,0,0.16471354166666666,False
pima,1,0.1518640350877193,False
pima,2,0.14967105263157898,False
pima,3,0.14274945175438597,False
pima,4,0.14062499999999997,False
pima,5,0.13898026315789475,False
pima,6,0.1322642543859649,False
pima,7,0.13199013157894737,False
pima,8,0.1319901315789474,False
pima,9,0.12616502192982457,False
pima,10,0.12685032894736842,False
mnist,0,0.08021305350186819,True
mnist,1,0.0730793151985335,True
mnist,2,0.07016596287930867,True
mnist,3,0.07389767259157419,True
mnist,4,0.07059150872368981,True
mnist,5,0.07265376935415235,True
mnist,6,0.06884022390258272,True
mnist,7,0.07062424301941143,True
mnist,8,0.07196634914399816,True
mnist,9,0.06882385675472191,True
mnist,10,0.06908573112049496,True
mnist,0,0.08121472295094999,False
mnist,1,0.07743297652950998,False
mnist,2,0.07458509280172836,False
mnist,3,0.07330845526858489,False
mnist,4,0.07049330583652492,False
mnist,5,0.06679433041998102,False
mnist,6,0.06798913221382041,False
mnist,7,0.06869291957183542,False
mnist,8,0.06625421454057417,False
mnist,9,0.0677272578480474,False
mnist,10,0.06574683295688892,False
