dataset_name,first_bias,last_bias,reduction,restricted
red_wine,0.07093856737383941,0.059988664790494056,15.435753763732531,True
red_wine,0.06683023043248185,0.057506644777986234,13.951149942412918,False
abalone,0.33221211395738565,0.35584550315218255,-7.113945639510446,True
abalone,0.23295427340196317,0.1879578644960498,19.315554185293685,False
breast_cancer,0.03835676625659051,0.031546572934973635,17.754868270332203,True
breast_cancer,0.03954305799648506,0.033150263620386644,16.166666666666664,False
pima,0.15970052083333333,0.17118969298245612,-7.194198296393235,True
pima,0.15520833333333334,0.13274396929824564,14.473684210526303,False
mnist,0.08014945544160902,0.06803823365740287,15.110797344131043,True
mnist,0.08406073614754749,0.07000229140070051,16.72415135904938,False
car,0.024118589743589745,0.01810897435897436,24.916943521594682,True
car,0.02172364672364672,0.017147435897435895,21.065573770491806,False
tic-tac-toe,0.03851078636047321,0.029659011830201802,22.985182508131576,True
tic-tac-toe,0.03979123173277662,0.03095337508698678,22.21056313396292,False
ionosphere,0.05683010946168842,0.051042135252661575,10.18469656992085,True
ionosphere,0.06396761133603239,0.05065227170490331,20.815752461322045,False
churn,0.0397,0.035719999999999995,10.025188916876585,True
churn,0.041385,0.03436,16.974749305303845,False
flare,0.15247029393370856,0.1609130706691682,-5.537325676784242,True
flare,0.1519699812382739,0.15347091932457785,-0.9876543209876567,False
ring,0.07272178060413353,0.06500158982511924,10.616064011193203,True
ring,0.06484737678855325,0.05578060413354532,13.981710755350681,False
two-spiral,0.4725641025641026,0.460968660968661,2.4537288237776513,True
two-spiral,0.19102564102564104,0.1754985754985755,8.128262490678601,False
