M,iteration,avg_fitness,restricted
0.01,0,1.0042513437175786,True
0.01,1,1.0209696607730268,True
0.01,2,1.0308057054209474,True
0.01,3,1.0312104711802847,True
0.01,4,1.0331486673072274,True
0.01,5,1.0351315413958866,True
0.01,6,1.0365407693159219,True
0.01,7,1.035757565052738,True
0.01,8,1.0368785461588583,True
0.01,9,1.0399571527135734,True
0.01,10,1.0377538698053457,True
0.01,11,1.039639567071477,True
0.01,12,1.0410097455229617,True
0.01,13,1.0409077579299362,True
0.01,14,1.0412286523449803,True
0.01,15,1.039992810980555,True
0.08,0,1.006139460454883,True
0.08,1,1.0165025748455156,True
0.08,2,1.022512937812771,True
0.08,3,1.0264928574749164,True
0.08,4,1.0302826641270355,True
0.08,5,1.0277502916403305,True
0.08,6,1.033174392493613,True
0.08,7,1.0316730493089163,True
0.08,8,1.030863589599501,True
0.08,9,1.03045889125479,True
0.08,10,1.0302333753924355,True
0.08,11,1.0359222425465848,True
0.08,12,1.0354114291716128,True
0.08,13,1.0349643575044445,True
0.08,14,1.0360565957528256,True
0.08,15,1.0365166166188282,True
0.1,0,1.0085607187153525,True
0.1,1,1.022095877131868,True
0.1,2,1.025501352684487,True
0.1,3,1.023242958065853,True
0.1,4,1.0293486588128786,True
0.1,5,1.0310434167649063,True
0.1,6,1.0319861559255912,True
0.1,7,1.034167075624853,True
0.1,8,1.0346285764243661,True
0.1,9,1.0305544565539784,True
0.1,10,1.032620413083348,True
0.1,11,1.031803209508234,True
0.1,12,1.0313724261663606,True
0.1,13,1.0316841750694117,True
0.1,14,1.0320019468006076,True
0.1,15,1.0338409063940748,True
0.2,0,1.0030654986160106,True
0.2,1,1.0166383965443242,True
0.2,2,1.0165741409487723,True
0.2,3,1.0253357444812283,True
0.2,4,1.0287437490361568,True
0.2,5,1.0238016449361582,True
0.2,6,1.0198461028018524,True
0.2,7,1.0261171570546466,True
0.2,8,1.0296857233369607,True
0.2,9,1.0243839446448564,True
0.2,10,1.0252993654653466,True
0.2,11,1.027976774613528,True
0.2,12,1.0277886458731496,True
0.2,13,1.0284723341198665,True
0.2,14,1.0306019519829033,True
0.2,15,1.0341398307292007,True
0.01,0,1.0451136363636364,False
0.01,1,1.0475885167464114,False
0.01,2,1.0484928229665071,False
0.01,3,1.049870813397129,False
0.01,4,1.0492727272727276,False
0.01,5,1.0488947368421053,False
0.01,6,1.0510765550239236,False
0.01,7,1.0506602870813397,False
0.01,8,1.0507368421052632,False
0.01,9,1.0508803827751196,False
0.01,10,1.0508133971291866,False
0.01,11,1.0507894736842105,False
0.01,12,1.0500669856459333,False
0.01,13,1.0516842105263158,False
0.01,14,1.0511531100478468,False
0.01,15,1.0502248803827752,False
0.08,0,1.0414909090909092,False
0.08,1,1.0436602870813396,False
0.08,2,1.044483253588517,False
0.08,3,1.0459569377990432,False
0.08,4,1.0461961722488038,False
0.08,5,1.0464306220095694,False
0.08,6,1.0470574162679425,False
0.08,7,1.046511961722488,False
0.08,8,1.0465645933014356,False
0.08,9,1.0472583732057414,False
0.08,10,1.0489043062200958,False
0.08,11,1.0478373205741625,False
0.08,12,1.0485933014354065,False
0.08,13,1.047775119617225,False
0.08,14,1.0483732057416266,False
0.08,15,1.0495933014354066,False
0.1,0,1.0416272727272728,False
0.1,1,1.0437416267942583,False
0.1,2,1.0442535885167463,False
0.1,3,1.0439186602870814,False
0.1,4,1.045244019138756,False
0.1,5,1.0449712918660286,False
0.1,6,1.046602870813397,False
0.1,7,1.0473205741626797,False
0.1,8,1.0482296650717704,False
0.1,9,1.0488755980861244,False
0.1,10,1.048602870813397,False
0.1,11,1.048598086124402,False
0.1,12,1.0478612440191386,False
0.1,13,1.048732057416268,False
0.1,14,1.0478660287081338,False
0.1,15,1.0490382775119618,False
0.2,0,1.0418045454545453,False
0.2,1,1.044650717703349,False
0.2,2,1.0455454545454543,False
0.2,3,1.0468086124401912,False
0.2,4,1.0473253588516744,False
0.2,5,1.0484114832535887,False
0.2,6,1.0488086124401914,False
0.2,7,1.0472679425837317,False
0.2,8,1.0475454545454543,False
0.2,9,1.0476794258373205,False
0.2,10,1.0475693779904305,False
0.2,11,1.0472440191387562,False
0.2,12,1.0472344497607655,False
0.2,13,1.0461913875598086,False
0.2,14,1.0471148325358852,False
0.2,15,1.0458325358851674,False
